Week,Student,Fn,X1,X2,X3,X4,X5,X6,X7,X8,Y
01,428,1,0.62854,0.62854,,,,,,,1.9999999996761817
01,428,2,0.983984,0.999998,,,,,,,-0.14394130977725078
01,428,3,0.432432,0.256757,0.500001,,,,,,-0.05319638367835561
01,428,4,0.421053,0.368421,0.368421,0.421053,,,,,0.692066924633068
01,428,5,0.310345,0.827586,0.965517,0.931034,,,,,1863.3560161111557
01,428,6,0.000123,0.142857,0.142857,0.999998,0.000123,,,,-1.5225719401914466
01,428,7,0.000123,0.444444,0.222222,0.222222,0.444444,0.777778,,,1.170907408098889
01,428,8,0.000123,0.222222,0.222222,0.222222,0.666667,0.666667,0.222222,0.666667,9.9060036265316
01,434,1,0.65,0.65,,,,,,,0.19574056182365185
01,434,2,0.717172,0.0,,,,,,,0.5688467122591582
01,434,3,0.99,0.99,0.808081,,,,,,-0.08980565259657282
01,434,4,0.421053,0.421053,0.315789,0.421053,,,,,-0.09983279368984865
01,434,5,0.263158,0.842105,0.894737,0.894737,,,,,1231.0876270989172
01,434,6,0.105263,0.0,0.0,0.99,0.0,,,,-1.6147778088456612
01,434,7,0.0,0.210526,0.526316,0.052632,0.368421,0.789474,,,1.58936786710541
01,434,8,0.2,0.2,0.2,0.0,0.99,0.4,0.2,0.2,9.89625
01,453,1,0.6,0.69,,,,,,,-0.0004160385033583013
01,453,2,0.79798,0.969697,,,,,,,0.03423862801512281
01,453,3,0.9981,0.001449,0.998173,,,,,,-0.4929315659657781
01,453,4,0.425358,0.392912,0.36824,0.418466,,,,,0.5895325334513726
01,453,5,0.223328,0.835221,0.899041,0.888129,,,,,1185.0925489298543
01,453,6,0.013971,0.054792,0.292459,0.97581,0.008969,,,,-1.3845716034562754
01,453,7,0.086339,0.408658,0.265295,0.14147,0.335118,0.683255,,,1.83422268712184
01,453,8,0.058288,0.165985,0.132597,0.021272,0.856846,0.527851,0.193914,0.709151,9.9760166817449
01,464,1,0.65,0.65,,,,,,,0.19574056182365185
01,464,2,0.787878,0.959595,,,,,,,0.03279024366549916
01,464,3,0.40404,0.262626,0.0,,,,,,-0.1359490480494924
01,464,4,0.259511,0.301324,0.374931,0.469123,,,,,-3.013473939917421
01,464,5,0.002282,0.103012,0.012698,0.015942,,,,,162.86337570907403
01,464,6,0.41094,0.738891,0.060417,0.33709,0.151347,,,,-1.4185392111119557
01,464,7,0.018803,0.922688,0.971516,0.39696,0.118397,0.892661,,,0.10873923359011678
01,464,8,0.061,0.081943,0.021147,0.062924,0.70612,0.751982,0.214847,0.969102,9.8672309371656
01,484,1,0.045,0.69,,,,,,,5.162073644429125e-150
01,484,2,0.784126,0.961904,,,,,,,0.17455319502545574
01,484,3,0.466666,0.111111,0.533333,,,,,,-0.06478802458051675
01,484,4,0.4375,0.4375,0.375,0.4375,,,,,0.1607825586343954
01,484,5,0.25,0.875,0.875,0.875,,,,,1182.0686328125
01,484,6,0.111111,0.222222,0.222222,0.0,0.0,,,,-1.8111850354036307
01,484,7,0.0,0.4,0.4,0.2,0.4,0.8,,,1.6104180268984265
01,484,8,0.0,0.333333,0.0,0.333333,0.666666,0.333333,0.333333,0.333333,9.7827446488881
