Week,Student,Fn,X1,X2,X3,X4,X5,X6,X7,X8,Y
01,427,1,0.605439,0.664755,,,,,,,0.007670920191731123
01,427,2,0.929767,0.997474,,,,,,,-0.011315292128829268
01,427,3,0.99,0.99,0.0,,,,,,-0.14637527090736432
01,427,4,0.45918,0.459289,0.399209,0.408363,,,,,-1.0810200902143836
01,427,5,0.261839,0.845899,0.945459,0.906905,,,,,1630.4684987623102
01,427,6,0.464312,0.339986,0.491438,0.749695,0.159201,,,,-0.3985048119597738
01,427,7,0.0,0.268289,0.446722,0.095962,0.273324,0.874,,,1.3874679923066546
01,427,8,0.088905,0.288209,0.044306,0.25681,0.634647,0.459092,0.211743,0.52362,9.9310098549545
01,428,1,0.62854,0.62854,,,,,,,1.9999999996761817
01,428,2,0.983984,0.999998,,,,,,,-0.14394130977725078
01,428,3,0.432432,0.256757,0.500001,,,,,,-0.05319638367835561
01,428,4,0.421053,0.368421,0.368421,0.421053,,,,,0.692066924633068
01,428,5,0.310345,0.827586,0.965517,0.931034,,,,,1863.3560161111557
01,428,6,0.000123,0.142857,0.142857,0.999998,0.000123,,,,-1.5225719401914466
01,428,7,0.000123,0.444444,0.222222,0.222222,0.444444,0.777778,,,1.170907408098889
01,428,8,0.000123,0.222222,0.222222,0.222222,0.666667,0.666667,0.222222,0.666667,9.9060036265316
01,431,1,0.136027,0.831831,,,,,,,-7.266140053845068e-175
01,431,2,0.697146,0.225741,,,,,,,0.6258351588797688
01,431,3,0.690813,0.366199,0.841009,,,,,,-0.03841934956766226
01,431,4,0.825769,0.819615,0.861174,0.78678,,,,,-30.727812842163925
01,431,5,0.120775,0.158811,0.080574,0.643568,,,,,63.48821593834822
01,431,6,0.293523,0.037507,0.468229,0.734958,0.870948,,,,-1.460786825609882
01,431,7,0.267153,0.018424,0.024515,0.858944,0.127181,0.582142,,,0.05053787147976714
01,431,8,0.827014,0.424355,0.22266,0.923371,0.933689,0.06259,0.871635,0.120479,7.1183252232874
01,434,1,0.65,0.65,,,,,,,0.19574056182365185
01,434,2,0.717172,0.0,,,,,,,0.5688467122591582
01,434,3,0.99,0.99,0.808081,,,,,,-0.08980565259657282
